departamentocodigo,departamentonombre,municipiocodigo,municipionombre,agente,bandera,producto,precio,Year,Month,Day
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACION DE SERVICIO CALLE 80,TEXACO,GASOLINA CORRIENTE,7890,2015,10,2
08,ATLANTICO,08758,SOLEDAD,ESTACION DE SERVICIO COOPERATIVA DE TRANSPORTADORES DE BARRANQUILLA,TERPEL,BIODIESEL,7550,2015,10,6
11,BOGOTA D.C.,11001,BOGOTA D.C.,COMBUSTIBLES Y TRANSPORTES SHARITO,OCTANO,BIODIESEL,7530,2015,11,24
11,BOGOTA D.C.,11001,BOGOTA D.C.,COMBUSTIBLES Y TRANSPORTES SHARITO,OCTANO,GASOLINA CORRIENTE,7740,2015,11,24
25,CUNDINAMARCA,25402,LA VEGA,ESTACION DE SERVICIO EL VINAL,BIOMAX,GASOLINA CORRIENTE,8125,2015,12,1
25,CUNDINAMARCA,25402,LA VEGA,ESTACION DE SERVICIO EL VINAL,BIOMAX,BIODIESEL,8403,2015,12,1
13,BOLIVAR,13836,TURBACO,ESTACION DE SERVICIO SAN RAFAEL DE LA CRUZ TURBACO,PETROMIL,BIODIESEL,7300,2015,12,3
73,TOLIMA,73686,SANTA ISABEL,ESTACION DE SERVICIO LA CABAÑA DE SANTA ISABEL,TERPEL,GASOLINA CORRIENTE,7980,2015,12,4
73,TOLIMA,73686,SANTA ISABEL,ESTACION DE SERVICIO LA CABAÑA DE SANTA ISABEL,TERPEL,BIODIESEL,8010,2015,12,4
25,CUNDINAMARCA,25473,MOSQUERA,SERVICENTRO ESSO EL DIAMANTE,MOBIL,BIODIESEL,7260,2016,2,2
25,CUNDINAMARCA,25473,MOSQUERA,SERVICENTRO ESSO EL DIAMANTE,MOBIL,GASOLINA CORRIENTE,7718,2016,2,2
18,CAQUETA,18150,CARTAGENA DEL CHAIRA,EDS COMBUSTIBLES VILLA CLARA,TERPEL,GASOLINA CORRIENTE,7876,2016,2,3
18,CAQUETA,18150,CARTAGENA DEL CHAIRA,EDS COMBUSTIBLES VILLA CLARA,TERPEL,BIODIESEL,7575,2016,2,3
23,CORDOBA,23068,AYAPEL,ESTACION DE SERVICIO FLUVIAL LA CIENAGA,SAVE,BIODIESEL,7600,2016,2,4
47,MAGDALENA,47541,PEDRAZA,ESTACION DE SERVICIO DISTRI - RIO,SAVE,GASOLINA CORRIENTE,7900,2016,2,4
47,MAGDALENA,47541,PEDRAZA,ESTACION DE SERVICIO DISTRI - RIO,SAVE,BIODIESEL,7500,2016,2,4
23,CORDOBA,23068,AYAPEL,ESTACION DE SERVICIO FLUVIAL LA CIENAGA,SAVE,GASOLINA CORRIENTE,8340,2016,2,4
13,BOLIVAR,13001,CARTAGENA DE INDIAS,ESTACION DE DESPACHO LOS CAMPANOS,PETROMIL,BIODIESEL,7300,2016,2,4
05,ANTIOQUIA,05147,CAREPA,ESTACION DE SERVICIO PARADOR EL JHONSON,ZAPATA Y VELASQUEZ,GASOLINA CORRIENTE,7379,2016,2,29
05,ANTIOQUIA,05120,CACERES,ESTACION DE SERVICIO CANDILEJAS,ZEUSS,GASOLINA CORRIENTE,7990,2016,3,1
05,ANTIOQUIA,05120,CACERES,ESTACION DE SERVICIO CANDILEJAS,ZEUSS,BIODIESEL,7390,2016,3,1
52,NARIÑO,52473,MOSQUERA,ESTACION DE SERVICIO EL SOLAR,PETROMIL,BIODIESEL,5800,2016,3,2
52,NARIÑO,52473,MOSQUERA,ESTACION DE SERVICIO EL SOLAR,PETROMIL,GASOLINA CORRIENTE,5600,2016,3,2
52,NARIÑO,52835,TUMACO,ESTACION DE SERVICIO MIRAMAR,TERPEL,BIODIESEL,8000,2016,3,16
52,NARIÑO,52835,TUMACO,ESTACION DE SERVICIO MIRAMAR,TERPEL,GASOLINA CORRIENTE,8000,2016,3,16
73,TOLIMA,73616,RIOBLANCO,ESTACION DE SERVICIO RIO BLANCO,CASAMOTOR,GASOLINA CORRIENTE,8660,2016,3,23
73,TOLIMA,73616,RIOBLANCO,ESTACION DE SERVICIO RIO BLANCO,CASAMOTOR,BIODIESEL,7600,2016,3,23
08,ATLANTICO,08001,BARRANQUILLA,ESTACION DE SERVICIO EL PORTAL,PUMA,BIODIESEL,7120,2016,3,30
